"year","state_abbr","state","population","violent_crime","homicide","rape_legacy","rape_revised","robbery","aggravated_assault","property_crime","burglary","larceny","motor_vehicle_theft","caveats"
1994,"HI","Hawaii",1179000,3091,50,359,NA,1221,1461,75672,14029,55260,6383,NA
1994,"IA","Iowa",2829000,8914,47,666,NA,1327,6874,94475,18872,70507,5096,NA
1994,"ID","Idaho",1133000,3238,40,316,NA,209,2673,42954,8147,32597,2210,NA
1994,"IL","Illinois",11752000,112928,1378,3913,NA,43788,63849,548222,118116,363888,66218,NA
1994,"IN","Indiana",5752000,30205,453,2046,NA,7490,20216,233975,48921,160043,25011,NA
1994,"KS","Kansas",2554000,11314,170,1055,NA,2940,7149,112477,28635,75459,8383,NA
1994,"KY","Kentucky",3827000,16991,244,1350,NA,3595,11802,110725,28718,73449,8558,NA
1994,"LA","Louisiana",4315000,42369,856,1923,NA,11530,28060,245488,55188,164081,26219,NA
1994,"MA","Massachusetts",6041000,42749,214,1825,NA,10160,30550,225532,53222,129962,42348,NA
1994,"MD","Maryland",5006000,47457,579,2035,NA,20147,24696,259039,52234,168608,38197,NA
1994,"ME","Maine",1240000,1611,28,318,NA,278,987,38971,8938,28257,1776,NA
1994,"MI","Michigan",9496000,72751,927,6720,NA,21733,43371,444325,91849,290172,62304,NA
1994,"MN","Minnesota",4567000,16397,147,2725,NA,5370,8155,181856,36157,131344,14355,NA
1994,"MO","Missouri",5278000,39240,554,1955,NA,12178,24553,240898,55577,158283,27038,NA
1994,"MT","Montana",856000,1516,28,233,NA,280,975,41445,6178,32817,2450,NA
1994,"NC","North Carolina",7070000,46308,772,2334,NA,12811,30391,351397,104118,225937,21342,NA
1994,"ND","North Dakota",638000,522,1,149,NA,71,301,16933,2070,13899,964,NA
1994,"NE","Nebraska",1623000,6322,51,500,NA,1223,4548,65746,10963,48547,6236,NA
1994,"NH","New Hampshire",1137000,1328,16,407,NA,308,597,29837,5275,22260,2302,NA
1994,"NJ","New Jersey",7904000,48544,396,1972,NA,22762,23414,319856,72074,195618,52164,NA
1994,"NM","New Mexico",1654000,14708,177,866,NA,2329,11336,87638,21945,57343,8350,NA
1994,"NV","Nevada",1457000,14597,170,1001,NA,5134,8292,82693,19735,51893,11065,NA
1994,"NY","New York",18169000,175433,2016,4700,NA,86617,82100,745845,164650,452322,128873,NA
1994,"OH","Ohio",11102000,53930,662,5231,NA,20821,27216,441380,96175,297792,47413,NA
1994,"OK","Oklahoma",3258000,21225,226,1616,NA,4174,15209,160250,40764,104025,15461,NA
1994,"OR","Oregon",3086000,16067,150,1333,NA,4264,10320,178240,33970,122506,21764,NA
1994,"PA","Pennsylvania",12052000,51425,712,3145,NA,22497,25071,342901,66468,222280,54153,NA
1994,"RI","Rhode Island",997000,3744,41,273,NA,870,2560,37323,9101,23039,5183,NA
1994,"SC","South Carolina",3664000,37756,353,1991,NA,6817,28595,182114,46678,122252,13184,NA
1994,"SD","South Dakota",721000,1641,10,303,NA,135,1193,20726,3938,15916,872,NA
1994,"TN","Tennessee",5175000,38705,482,2545,NA,10735,24943,226247,59080,138173,28994,NA
1994,"TX","Texas",18378000,129838,2022,9102,NA,37643,81071,949387,214687,623947,110753,NA
1994,"UT","Utah",1908000,5810,56,806,NA,1213,3735,95332,15089,74554,5689,NA
1994,"VA","Virginia",6552000,23437,571,1868,NA,8704,12294,241763,41855,181619,18289,NA
1994,"VT","Vermont",580000,562,6,160,NA,71,325,18290,4274,13154,862,NA
1994,"WA","Washington",5343000,27317,294,3230,NA,7464,16329,294734,55793,212198,26743,NA
1994,"WI","Wisconsin",5082000,13748,227,1192,NA,5739,6590,186704,32824,135559,18321,NA
1994,"WV","West Virginia",1822000,3931,99,370,NA,772,2690,42136,10673,28189,3274,NA
1994,"WY","Wyoming",476000,1297,16,160,NA,79,1042,19122,3097,15254,771,NA
1995,"USA","United States",262803276,1798792,21606,97470,NA,580509,1099207,12063935,2593784,7997710,1472441,NA
1995,"AK","Alaska",604000,4656,55,485,NA,937,3179,30097,5055,21891,3151,NA
1995,"AL","Alabama",4253000,26894,475,1350,NA,7900,17169,179294,43586,120967,14741,NA
1995,"AR","Arkansas",2484000,13741,259,925,NA,3122,9435,102780,24763,69935,8082,NA
1995,"AZ","Arizona",4218000,30095,439,1418,NA,7329,20909,316355,59762,207763,48830,NA
1995,"CA","California",31589000,305154,3531,10554,NA,104611,186458,1536830,353895,902456,280479,NA
1995,"CO","Colorado",3747000,16494,216,1480,NA,3604,11194,185705,35001,136184,14520,NA
1995,"CT","Connecticut",3275000,13293,150,776,NA,5345,7022,134188,29095,87401,17692,NA
1995,"DC","District of Columbia",554000,14744,360,292,NA,6864,7228,52697,10185,32319,10193,NA
1995,"DE","Delaware",717000,5198,25,575,NA,1425,3173,31790,6491,22329,2970,NA
1995,"FL","Florida",14166000,151711,1037,6887,NA,42485,101302,939288,215657,612311,111320,NA
1995,"GA","Georgia",7201000,47317,683,2539,NA,14777,29318,385005,76324,264872,43809,NA
1995,"HI","Hawaii",1187000,3509,56,336,NA,1553,1564,81938,13832,59907,8199,NA
1995,"IA","Iowa",2842000,10071,51,619,NA,1507,7894,106504,21527,78645,6332,NA
1995,"ID","Idaho",1163000,3745,48,330,NA,279,3088,47444,9069,35560,2815,NA
1995,"IL","Illinois",11830000,117836,1221,4313,NA,39139,73163,527572,108555,357143,61874,"The state UCR Program was unable to provide 1985-2013 forcible rape figures in accordance with national UCR Program guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state."
1995,"IN","Indiana",5803000,30451,466,1930,NA,7844,20211,238317,47676,163618,27023,NA
1995,"KS","Kansas",2565000,10792,159,938,NA,2775,6920,114558,27404,78855,8299,NA
1995,"KY","Kentucky",3860000,14079,276,1231,NA,4001,8571,115298,28389,76906,10003,NA
1995,"LA","Louisiana",4342000,43741,740,1855,NA,11662,29484,246132,53481,166667,25984,NA
1995,"MA","Massachusetts",6074000,41739,217,1759,NA,9137,30626,221971,49669,135586,36716,NA
1995,"MD","Maryland",5042000,49757,596,2130,NA,21334,25697,267625,53320,178126,36179,NA
1995,"ME","Maine",1241000,1631,25,265,NA,334,1007,39132,9015,28444,1673,NA
1995,"MI","Michigan",9549000,65680,808,5917,NA,17885,41070,429223,86872,280712,61639,NA
1995,"MN","Minnesota",4610000,16416,182,2593,NA,5702,7939,190911,36756,138414,15741,NA
1995,"MO","Missouri",5324000,35339,469,1711,NA,10863,22296,237278,49649,162430,25199,NA
1995,"MS","Mississippi",2697000,13560,348,1054,NA,3530,8628,108195,30505,67967,9723,NA
1995,"MT","Montana",870000,1491,35,231,NA,253,972,40246,5060,32797,2389,NA
1995,"NC","North Carolina",7195000,46508,677,2320,NA,12896,30615,359256,101995,234911,22350,NA
1995,"ND","North Dakota",641000,556,6,146,NA,64,340,17817,2248,14421,1148,NA
1995,"NE","Nebraska",1637000,6253,48,317,NA,1067,4821,68140,10344,52044,5752,NA
1995,"NH","New Hampshire",1148000,1314,21,333,NA,314,646,29170,4806,22698,1666,NA
1995,"NJ","New Jersey",7945000,47652,409,1927,NA,22486,22830,326056,69533,206339,50184,NA
1995,"NM","New Mexico",1685000,13804,148,954,NA,2604,10098,94508,24383,61478,8647,NA
1995,"NV","Nevada",1530000,14461,163,937,NA,4966,8395,86203,20235,54563,11405,NA
1995,"NY","New York",18136000,152683,1550,4290,NA,72492,74351,674342,146562,425184,102596,NA
1995,"OH","Ohio",11151000,53799,600,4835,NA,19931,28433,437424,93539,297624,46261,NA
1995,"OK","Oklahoma",3278000,21770,400,1461,NA,3788,16121,161693,41694,103727,16272,NA
1995,"OR","Oregon",3141000,16408,129,1309,NA,4332,10638,189765,34640,133075,22050,NA
1995,"PA","Pennsylvania",12072000,51586,755,3046,NA,22858,24927,354623,67815,236991,49817,NA
1995,"RI","Rhode Island",990000,3643,33,267,NA,914,2429,38378,9234,24780,4364,NA
1995,"SC","South Carolina",3673000,36067,292,1737,NA,6461,27577,186656,46083,126416,14157,NA
1995,"SD","South Dakota",729000,1513,13,299,NA,189,1012,20799,3942,15976,881,NA
1995,"TN","Tennessee",5256000,40549,557,2477,NA,11732,25783,241315,60086,147143,34086,NA
1995,"TX","Texas",18724000,124303,1693,8563,NA,33667,80380,940033,202642,632468,104923,NA
1995,"UT","Utah",1951000,6415,76,834,NA,1309,4196,112417,15623,89202,7592,NA
1995,"VA","Virginia",6618000,23921,503,1799,NA,8718,12901,240084,39388,181333,19363,NA
1995,"VT","Vermont",585000,692,13,165,NA,64,450,19395,4451,14150,794,NA
1995,"WA","Washington",5431000,26300,275,3214,NA,7209,15602,314213,59265,224861,30087,NA
1995,"WI","Wisconsin",5123000,14399,219,1194,NA,5384,7602,184665,31416,134623,18626,NA
1995,"WV","West Virginia",1828000,3842,89,388,NA,781,2584,41093,10329,27724,3040,NA
1995,"WY","Wyoming",480000,1220,10,165,NA,86,959,19517,2938,15774,805,NA
1996,"USA","United States",265228572,1688540,19645,96252,NA,535594,1037049,11805323,2506400,7904685,1394238,NA
1996,"AK","Alaska",607000,4417,45,398,NA,710,3264,28667,5118,20557,2992,NA
1996,"AL","Alabama",4273000,24159,444,1397,NA,7124,15194,181803,42821,123350,15632,NA
1996,"AR","Arkansas",2510000,13161,219,1046,NA,2864,9032,104790,23925,73010,7855,NA
1996,"AZ","Arizona",4428000,27963,377,1381,NA,7429,18776,284964,55630,188300,41034,NA
1996,"CA","California",31878000,274996,2916,10244,NA,94222,167614,1385135,312212,830457,242466,NA
1996,"CO","Colorado",3823000,15463,180,1765,NA,3755,9763,180218,34436,130576,15206,NA
1996,"CT","Connecticut",3274000,13490,158,755,NA,5552,7025,124924,27574,81328,16022,NA
1996,"DC","District of Columbia",543000,13411,397,260,NA,6444,6310,51188,9828,31385,9975,NA
1996,"DE","Delaware",725000,4845,31,454,NA,1304,3056,30643,5830,21665,3148,NA
1996,"FL","Florida",14400000,151350,1077,7508,NA,41643,101122,928273,219056,605448,103769,"The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The state UCR Program was able to provide an aggregated state total and data were received from 94 individual Florida agencies"
1996,"GA","Georgia",7353000,46966,630,2357,NA,15100,28879,416986,81968,288803,46215,NA
1996,"HI","Hawaii",1184000,3322,40,326,NA,1606,1350,74639,12781,54701,7157,NA
1996,"IA","Iowa",2852000,7771,53,561,NA,1286,5871,96296,18954,71893,5449,NA
1996,"ID","Idaho",1189000,3177,43,313,NA,241,2580,44532,8431,33872,2229,NA
1996,"IL","Illinois",11847000,105482,1179,4548,NA,33106,66649,524777,108185,358515,58077,"The state UCR Program was unable to provide 1985-2013 forcible rape figures in accordance with national UCR Program guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state."
1996,"IN","Indiana",5841000,31366,420,1992,NA,7249,21705,231376,45782,160777,24817,NA
1996,"KS","Kansas",2572000,10642,170,1096,NA,2476,6900,109772,25239,78145,6388,"The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The Kansas state estimate was extrapolated from 1996 January-June state totals provided by the Kansas State UCR Program."
1996,"KY","Kentucky",3884000,12448,228,1230,NA,3643,7347,110531,26736,73653,10142,"The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The 1996 percent changes within the geographic division in which Kentucky is categorized were applied to the valid 1995 state total to generate the 1996 state total."
1996,"LA","Louisiana",4351000,40426,762,1805,NA,12036,25823,257130,56379,173271,27480,NA
1996,"MA","Massachusetts",6092000,39122,157,1767,NA,7778,29420,194636,42896,119562,32178,NA
1996,"MD","Maryland",5072000,47230,588,1905,NA,19944,24793,260231,50331,173817,36083,NA
1996,"ME","Maine",1243000,1553,25,260,NA,292,976,40636,9303,29557,1776,NA
1996,"MI","Michigan",9594000,60951,722,5466,NA,16907,37856,430020,85908,276909,67203,NA
1996,"MN","Minnesota",4658000,15782,167,2327,NA,5385,7903,192109,35515,138671,17923,NA
1996,"MO","Missouri",5359000,31669,433,1566,NA,9142,20528,240781,47919,168870,23992,NA
1996,"MS","Mississippi",2716000,13261,301,981,NA,3646,8333,109581,30755,69299,9527,NA
1996,"MT","Montana",879000,1415,34,238,NA,261,882,38084,4908,30928,2248,"The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The 1995 and 1996 percent changes within the geographic division in which Montana is categorized were applied to the valid 1995 state total to generate the 1996 state total."
1996,"NC","North Carolina",7323000,43068,619,2289,NA,12001,28159,361616,98539,238511,24566,NA
1996,"ND","North Dakota",644000,541,14,155,NA,71,301,16648,1991,13433,1224,NA
1996,"NE","Nebraska",1652000,7182,48,447,NA,1052,5635,66110,10152,50315,5643,NA
1996,"NH","New Hampshire",1162000,1373,20,404,NA,317,632,31436,5063,24611,1762,NA
1996,"NJ","New Jersey",7988000,42459,338,1976,NA,18838,21307,303657,63259,193961,46437,NA
1996,"NM","New Mexico",1713000,14399,197,1088,NA,2782,10332,98698,23586,65139,9973,NA
1996,"NV","Nevada",1603000,13005,220,856,NA,4931,6998,83047,19558,52295,11194,NA
1996,"NY","New York",18185000,132206,1353,4174,NA,61822,64857,619250,129828,399522,89900,NA
1996,"OH","Ohio",11173000,47896,538,4617,NA,18336,24405,449935,93336,311071,45528,NA
1996,"OK","Oklahoma",3301000,19710,223,1545,NA,3519,14423,166892,41447,109506,15939,NA
1996,"OR","Oregon",3204000,14837,129,1272,NA,3914,9522,177295,31664,128618,17013,NA
1996,"PA","Pennsylvania",12056000,57905,686,3034,NA,22784,31401,370851,71357,250758,48736,NA
1996,"RI","Rhode Island",990000,3437,25,287,NA,824,2301,36099,8135,23367,4597,NA
1996,"SC","South Carolina",3699000,36875,332,1821,NA,6361,28361,192986,47487,129650,15849,NA
1996,"SD","South Dakota",732000,1297,9,300,NA,138,850,20443,4077,15532,834,NA
1996,"TN","Tennessee",5320000,41175,503,2475,NA,11902,26295,248729,61896,152405,34428,NA
1996,"TX","Texas",19128000,123270,1477,8376,NA,32804,80613,968732,204390,659414,104928,NA
1996,"UT","Utah",2e+06,6638,63,836,NA,1377,4362,113079,16965,87542,8572,NA
1996,"VA","Virginia",6675000,22782,500,1783,NA,8181,12318,242100,39255,184237,18608,NA
1996,"VT","Vermont",589000,714,11,159,NA,91,453,16973,3964,12124,885,NA
1996,"WA","Washington",5533000,23857,255,2828,NA,6587,14187,303111,58512,215706,28893,NA
1996,"WI","Wisconsin",5160000,13039,204,1086,NA,4982,6767,184143,30356,135941,17846,NA
1996,"WV","West Virginia",1826000,3836,69,358,NA,737,2672,41510,9979,28300,3231,NA
1996,"WY","Wyoming",481000,1201,16,140,NA,98,947,19261,3184,15408,669,NA
1997,"USA","United States",267783607,1636099,18211,96153,NA,498534,1023201,11558975,2461026,7743760,1354189,NA
1997,"AK","Alaska",609000,4270,54,403,NA,648,3165,27840,4276,20780,2784,NA
1997,"AL","Alabama",4319000,24379,426,1396,NA,6931,15626,186809,43786,127616,15407,NA
1997,"AR","Arkansas",2523000,13293,250,1098,NA,2814,9131,105759,25568,72253,7938,NA
1997,"AZ","Arizona",4555000,28411,375,1492,NA,7547,18997,299323,60077,195045,44201,NA
1997,"CA","California",32268000,257582,2579,10189,NA,81468,163346,1312367,299240,784405,228722,NA
1997,"CO","Colorado",3893000,14139,157,1677,NA,3242,9063,166902,30994,119801,16107,NA
1997,"CT","Connecticut",3270000,12781,124,740,NA,4999,6918,117505,24143,78821,14541,NA
1997,"DC","District of Columbia",529000,10708,301,218,NA,4501,5688,41341,6963,26809,7569,NA
1997,"DE","Delaware",732000,5753,22,428,NA,1783,3520,36578,6421,25904,4253,NA
1997,"FL","Florida",14654000,149996,1012,7599,NA,40459,100926,915613,213926,594492,107195,NA
1997,"GA","Georgia",7486000,45408,563,2328,NA,15473,27044,388155,81320,262263,44572,NA
1997,"HI","Hawaii",1187000,3299,47,371,NA,1403,1478,68193,12741,48984,6468,NA
1997,"IA","Iowa",2852000,8841,52,579,NA,1593,6617,99986,22003,71301,6682,NA
1997,"ID","Idaho",1210000,3107,39,350,NA,237,2481,44388,9175,32784,2429,NA
1997,"IL","Illinois",11896000,102476,1096,4415,NA,33123,63842,509113,103550,350140,55423,"The state UCR Program was unable to provide 1985-2013 forcible rape figures in accordance with national UCR Program guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state."
1997,"IN","Indiana",5864000,30179,430,1928,NA,7763,20058,231723,48182,158442,25099,NA
1997,"KS","Kansas",2595000,11151,150,1179,NA,2535,7287,122553,24292,91823,6438,"The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The Kansas state estimate was extrapolated from 1996 January-June state totals provided by the Kansas State UCR Program."
1997,"KY","Kentucky",3908000,12386,228,1304,NA,3546,7308,109819,26638,73487,9694,"The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which Kentucky is categorized were applied to the valid 1996 state total to effect the 1997 state total."
1997,"LA","Louisiana",4352000,37248,682,1799,NA,10407,24360,243423,53935,163114,26374,NA
1997,"MA","Massachusetts",6118000,39411,119,1647,NA,6676,30969,185437,40491,115494,29452,NA
1997,"MD","Maryland",5094000,43127,502,1814,NA,17157,23654,244842,47918,166256,30668,NA
1997,"ME","Maine",1242000,1500,25,254,NA,257,964,37396,8241,27513,1642,NA
1997,"MI","Michigan",9774000,57663,759,5070,NA,14934,36900,422916,80726,276863,65327,NA
1997,"MN","Minnesota",4686000,15827,129,2446,NA,5373,7879,191006,35265,137872,17869,NA
1997,"MO","Missouri",5402000,31192,426,1525,NA,8430,20811,228889,46900,155472,26517,NA
1997,"MS","Mississippi",2731000,12808,358,1065,NA,3741,7644,113644,32429,71887,9328,NA
1997,"MT","Montana",879000,1161,42,171,NA,179,769,37592,5002,30411,2179,"The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which Montana is categorized were applied to the valid 1996 state total to effect the 1997 state total."
1997,"NC","North Carolina",7425000,45071,614,2348,NA,12817,29292,362672,100002,238228,24442,NA
1997,"ND","North Dakota",641000,559,6,159,NA,41,353,16821,2300,13367,1154,NA
1997,"NE","Nebraska",1657000,7265,50,406,NA,1097,5712,63717,9813,48363,5541,"The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which New Hampshire is categorized were applied to the valid 1996 state total to effect the 1997 state total."
1997,"NH","New Hampshire",1173000,1328,16,395,NA,274,643,29635,4612,23430,1593,NA
1997,"NJ","New Jersey",8053000,39673,337,1729,NA,16957,20650,287038,60894,184979,41165,NA
1997,"NM","New Mexico",1730000,14762,134,872,NA,2966,10790,104721,25126,67188,12407,NA
1997,"NV","Nevada",1677000,13395,187,1005,NA,5071,7132,88307,21975,53112,13220,NA
1997,"NY","New York",18137000,124890,1093,4075,NA,56094,63628,584438,118306,386435,79697,NA
1997,"OH","Ohio",11186000,48706,523,4566,NA,17755,25862,455799,94972,315908,45419,NA
1997,"OK","Oklahoma",3317000,18560,229,1517,NA,3446,13368,163698,40015,109039,14644,NA
1997,"OR","Oregon",3243000,14412,95,1306,NA,3811,9200,188916,33507,136129,19280,NA
1997,"PA","Pennsylvania",12020000,53140,705,3289,NA,18788,30358,359323,68218,246892,44213,NA
1997,"RI","Rhode Island",987000,3292,25,363,NA,707,2197,32777,7083,21499,4195,NA
1997,"SC","South Carolina",3760000,37235,314,1837,NA,6624,28460,193402,46322,131325,15755,NA
1997,"SD","South Dakota",738000,1457,10,357,NA,172,918,22491,4088,17545,858,NA
1997,"TN","Tennessee",5368000,42389,511,3056,NA,11487,27335,253484,62899,156843,33742,NA
1997,"TX","Texas",19439000,117126,1327,8011,NA,30522,77266,948231,201059,645451,101721,NA
1997,"UT","Utah",2059000,6878,50,977,NA,1408,4443,116569,18335,89090,9144,NA
1997,"VA","Virginia",6734000,23249,488,1819,NA,8384,12558,237773,38475,180406,18892,NA
1997,"VT","Vermont",589000,705,9,156,NA,79,461,15953,3611,11542,800,"The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which Vermont is categorized were applied to the valid 1996 state total to effect the 1997 state total."
1997,"WA","Washington",5610000,24724,244,2885,NA,6734,14864,307742,62064,213823,31855,NA
1997,"WI","Wisconsin",5170000,13988,205,1048,NA,5214,7521,176145,29503,131002,15640,NA
1997,"WV","West Virginia",1816000,3971,75,355,NA,782,2759,40868,10647,26934,3287,NA
1997,"WY","Wyoming",480000,1225,17,137,NA,85,986,18843,2998,15198,647,NA
1998,"USA","United States",270248003,1533887,16974,93144,NA,447186,976583,10951827,2332735,7376311,1242781,NA
1998,"AK","Alaska",614000,4015,41,421,NA,532,3021,25316,4098,18611,2607,NA
1998,"AL","Alabama",4352000,22286,354,1443,NA,5698,14791,177779,41965,120943,14871,NA
1998,"AR","Arkansas",2538000,12442,201,893,NA,2442,8906,96271,23559,65525,7187,NA
1998,"AZ","Arizona",4669000,26984,376,1451,NA,7715,17442,280001,56473,183137,40391,NA
1998,"CA","California",32667000,229883,2171,9782,NA,68782,149148,1188791,269012,724262,195517,NA
1998,"CO","Colorado",3971000,15008,183,1883,NA,3238,9704,163189,31231,115871,16087,NA
1998,"CT","Connecticut",3274000,11993,135,728,NA,4379,6751,111978,21801,77472,12705,NA
1998,"DC","District of Columbia",523000,8988,260,190,NA,3606,4932,37222,6361,24360,6501,NA
1998,"DE","Delaware",744000,5672,21,499,NA,1445,3707,34230,6395,24649,3186,"The state UCR Program was unable to provide 1998 forcible rape figures in accordance with national UCR guidelines.  The 1998 forcible rape total for Delaware was estimated by reducing the number of reported offenses by the proportion of male forcible rape victims statewide."
1998,"FL","Florida",14916000,140016,967,7404,NA,36198,95447,887107,203105,579752,104250,NA
1998,"GA","Georgia",7642000,43762,618,2322,NA,14308,26514,373717,75720,255459,42538,NA
1998,"HI","Hawaii",1193000,2946,24,352,NA,1225,1345,60677,11169,43914,5594,NA
1998,"IA","Iowa",2862000,8916,54,728,NA,1456,6678,91272,19282,66016,5974,NA
1998,"ID","Idaho",1229000,3468,36,386,NA,264,2782,42185,8518,31385,2282,NA
1998,"IL","Illinois",12045000,97291,1008,4095,NA,29927,62261,487915,97792,337191,52932,"The state UCR Program was unable to provide 1985-2013 forcible rape figures in accordance with national UCR Program guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state."
1998,"IN","Indiana",5899000,25423,454,1952,NA,6561,16456,220529,46552,152790,21187,NA
1998,"KS","Kansas",2629000,10972,173,1128,NA,2287,7384,117114,24984,85329,6801,"The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  To arrive at 1998 estimates, 1997 state totals supplied by the Kansas State UCR Program were updated using 1998 crime trends for the West North Central Division."
1998,"KY","Kentucky",3936000,12909,237,1107,NA,3468,8097,109721,27998,71971,9752,"The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which Kentucky is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received."
1998,"LA","Louisiana",4369000,34057,560,1609,NA,8651,23237,232378,51210,157507,23661,NA
1998,"MA","Massachusetts",6147000,38192,124,1687,NA,5938,30443,173011,37333,109275,26403,NA
1998,"MD","Maryland",5135000,40903,513,1714,NA,15339,23337,234624,47393,159019,28212,NA
1998,"ME","Maine",1244000,1566,26,225,NA,263,1052,36261,8295,26457,1509,NA
1998,"MI","Michigan",9817000,60947,721,4946,NA,15293,39987,398773,82249,258186,58338,NA
1998,"MN","Minnesota",4725000,14656,121,2358,NA,4371,7806,176541,32486,128689,15366,NA
1998,"MO","Missouri",5439000,30222,399,1463,NA,8116,20244,232284,47455,160363,24466,NA
1998,"MS","Mississippi",2752000,11302,315,1026,NA,3394,6567,109345,31498,68525,9322,NA
1998,"MT","Montana",880000,1797,18,235,NA,232,1312,36564,4575,29940,2049,"The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which Montana is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received."
1998,"NC","North Carolina",7546000,43723,612,2311,NA,12133,28667,357892,99951,233325,24616,NA
1998,"ND","North Dakota",638000,570,7,212,NA,65,286,16535,2274,13134,1127,NA
1998,"NE","Nebraska",1663000,7507,51,417,NA,1290,5749,65752,10544,49420,5788,"The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which New Hampshire is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received."
1998,"NH","New Hampshire",1185000,1270,18,400,NA,255,597,27405,3852,22079,1474,NA
1998,"NJ","New Jersey",8115000,35720,325,1623,NA,15109,18663,260810,54459,171166,35185,NA
1998,"NM","New Mexico",1737000,16700,190,957,NA,2839,12714,100011,24213,65031,10767,NA
1998,"NV","Nevada",1747000,11244,170,911,NA,4453,5710,81006,19873,47367,13766,NA
1998,"NY","New York",18175000,115915,924,3843,NA,49125,62023,536287,104821,363295,68171,NA
1998,"OH","Ohio",11209000,40628,443,4543,NA,14960,20682,444438,90805,310612,43021,NA
1998,"OK","Oklahoma",3347000,18053,204,1513,NA,3078,13258,149426,38268,97593,13565,NA
1998,"OR","Oregon",3282000,13778,126,1307,NA,3452,8893,171545,30442,123841,17262,NA
1998,"PA","Pennsylvania",12001000,50470,633,3223,NA,19787,26827,342318,63777,235873,42668,NA
1998,"RI","Rhode Island",988000,3084,24,351,NA,659,2050,31672,6452,21391,3829,NA
1998,"SC","South Carolina",3836000,34647,306,1753,NA,5943,26645,186960,44600,126412,15948,NA
1998,"SD","South Dakota",738000,1139,10,258,NA,149,722,18227,3458,14006,763,NA
1998,"TN","Tennessee",5431000,38832,460,2485,NA,9667,26220,234588,58432,148057,28099,NA
1998,"TX","Texas",19760000,111566,1346,7913,NA,28677,73630,898496,194883,606967,96646,NA
1998,"UT","Utah",2100000,6599,65,875,NA,1385,4274,109025,17070,84255,7700,NA
1998,"VA","Virginia",6791000,22115,422,1810,NA,7171,12712,226461,38094,170012,18355,NA
1998,"VT","Vermont",591000,628,13,163,NA,56,396,17924,3966,13084,874,NA
1998,"WA","Washington",5689000,24380,224,2740,NA,6577,14839,309419,60446,213773,35200,NA
1998,"WI","Wisconsin",5224000,13009,190,1037,NA,4474,7308,172084,29740,128134,14210,"The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which Wisconsin is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received."
1998,"WV","West Virginia",1811000,4503,78,339,NA,676,3410,41627,11110,27127,3390,NA
1998,"WY","Wyoming",481000,1191,23,133,NA,78,957,17124,2696,13759,669,NA
1999,"USA","United States",272690813,1426044,15522,89411,NA,409371,911740,10208334,2100739,6955520,1152075,NA
1999,"AK","Alaska",619500,3908,52,517,NA,566,2773,23099,3787,16654,2658,NA
1999,"AL","Alabama",4369862,21421,345,1513,NA,5297,14266,171398,38648,119616,13134,NA
1999,"AR","Arkansas",2551373,10848,143,710,NA,2024,7971,92283,21692,63927,6664,NA
1999,"AZ","Arizona",4778332,26334,384,1383,NA,7288,17279,255401,49423,167731,38247,NA
1999,"CA","California",33145121,207879,2005,9363,NA,60039,136472,1053285,223814,660991,168480,NA
1999,"CO","Colorado",4056133,13811,185,1679,NA,3056,8891,151002,26979,109228,14795,NA
